"table_name","column_name","data_type","nullable","column_default","primary_key","references_table","references_column","total_columns","policies_count","policy_names","triggers_count","trigger_names"
"groups","created_by","uuid","NULL","null","","admins","admin_id","5","0","","0",""
"groups","created_by","uuid","NULL","null","","users","id","5","0","","0",""
"groups","created_by","uuid","NULL","null","","users","id","5","0","","0",""
"groups","created_by","uuid","NULL","null","","users","id","5","0","","0",""
"groups","created_at","timestamp without time zone","NULL","now()","","null","null","5","0","","0",""
"groups","updated_at","timestamp without time zone","NULL","now()","","null","null","5","0","","0",""
"messages","message_id","uuid","NOT NULL","null","PK","null","null","7","0","","0",""
"messages","sender_id","uuid","NULL","null","","users","id","7","0","","0",""
"messages","sender_id","uuid","NULL","null","","users","id","7","0","","0",""
"messages","group_id","uuid","NULL","null","","groups","group_id","7","0","","0",""
